cluster_id,manual_anchor_label,algo_top,algo_second,margin,n_clips,listen_for,notes
5,,alarm,call,0.00002,8,"call vs alarm — DEAD TIE, listen hardest","User: fill manual_anchor_label after listening"
1,,alarm,juvenile_begging,0.0033,8,"alarm vs juvenile_begging — begging is rhythmic/insistent (has 3 juv clips)","User: fill manual_anchor_label after listening"
12,,song,alarm,0.0032,7,"song vs alarm","User: fill manual_anchor_label after listening"
4,,call,alarm,0.0038,6,"call vs alarm","User: fill manual_anchor_label after listening"
10,,alarm,call,0.0048,8,"call vs alarm","User: fill manual_anchor_label after listening"
13,,call,alarm,0.0050,9,"call vs alarm","User: fill manual_anchor_label after listening"
11,,song,alarm,0.0061,14,"song vs alarm (large cluster)","User: fill manual_anchor_label after listening"
2,,song,call,0.0114,6,"song vs call (alarm not involved)","User: fill manual_anchor_label after listening"
0,,call,alarm,0.0131,6,"call vs alarm","User: fill manual_anchor_label after listening"
9,,song,alarm,0.0183,8,"song vs alarm","User: fill manual_anchor_label after listening"
3,,song,alarm,0.0261,6,"likely song — confirm not alarm","User: fill manual_anchor_label after listening"
6,,song,alarm,0.0295,6,"likely song — confirm not alarm","User: fill manual_anchor_label after listening"
7,,call,song,0.0357,6,"likely call — confirm (passed threshold)","User: fill manual_anchor_label after listening"
8,,alarm,call,0.0670,17,"likely alarm — biggest cluster confirm carefully (passed threshold)","User: fill manual_anchor_label after listening"
-1,,mixed,mixed,,129,"noise/residual — sample a few only; likely leave as noise or unlabeled","User: usually leave blank unless a clear family emerges"
